Date,Open,High,Low,Close,Adj Close,Volume
2018-07-25,0.269550,0.270400,0.266800,0.269550,0.269550,2284
2018-07-26,0.267050,0.271600,0.266750,0.267050,0.267050,23726
2018-07-27,0.268900,0.269650,0.267050,0.268900,0.268900,5980
2018-07-29,null,null,null,null,null,null
2018-07-30,0.268200,0.270000,0.268000,0.268200,0.268200,5691
2018-07-31,0.266300,0.268300,0.264900,0.266300,0.266300,1965
2018-08-01,0.265500,0.267000,0.264300,0.265500,0.265500,4099
2018-08-02,0.264950,0.265650,0.263550,0.264950,0.264950,3967
2018-08-03,0.268800,0.269250,0.264900,0.268800,0.268800,1650
2018-08-05,null,null,null,null,null,null
2018-08-06,0.267600,0.271000,0.267000,0.267600,0.267600,2396
2018-08-07,0.265350,0.269200,0.264450,0.265350,0.265350,3101
2018-08-08,0.264850,0.266900,0.264350,0.264850,0.264850,4640
2018-08-09,0.262400,0.264800,0.261100,0.262400,0.262400,1993
2018-08-10,0.257650,0.262500,0.257300,0.257650,0.257650,4094
2018-08-12,null,null,null,null,null,null
2018-08-13,0.254850,0.259900,0.252150,0.254850,0.254850,5214
2018-08-14,0.257900,0.258550,0.255650,0.257900,0.257900,4984
2018-08-15,0.255800,0.257900,0.254150,0.255800,0.255800,2761
2018-08-16,0.255600,0.258000,0.254100,0.255600,0.255600,4905
2018-08-17,0.254300,0.256050,0.252450,0.254300,0.254300,2731
2018-08-19,null,null,null,null,null,null
2018-08-20,0.252000,0.255000,0.251450,0.252000,0.252000,3125
2018-08-21,0.247850,0.252100,0.246450,0.247850,0.247850,1574
2018-08-22,0.245800,0.247600,0.243050,0.245800,0.245800,5866
2018-08-23,0.243200,0.247100,0.242050,0.243200,0.243200,7088
2018-08-24,0.243100,0.245200,0.241350,0.243100,0.243100,3787
2018-08-26,null,null,null,null,null,null
2018-08-27,0.244750,0.246650,0.242200,0.244750,0.244750,5797
2018-08-28,0.241600,0.245650,0.240950,0.241600,0.241600,8648
2018-08-29,0.242300,0.243400,0.240200,0.242300,0.242300,28083
2018-08-30,0.239600,0.244600,0.237250,0.239600,0.239600,10664
2018-08-31,0.241800,0.243000,0.240000,0.241800,0.241800,5719
2018-09-02,null,null,null,null,null,null
2018-09-04,0.240000,0.245550,0.238000,0.240000,0.240000,6446
2018-09-05,0.241450,0.242500,0.237150,0.241450,0.241450,3648
2018-09-06,0.242300,0.247000,0.238800,0.242300,0.242300,3095
2018-09-07,0.242250,0.246450,0.240050,0.242250,0.242250,5464
2018-09-09,null,null,null,null,null,null
2018-09-10,0.244300,0.246200,0.241700,0.244300,0.244300,572
2018-09-11,0.239950,0.244400,0.238800,0.239950,0.239950,3256
2018-09-12,0.241550,0.242750,0.240000,0.241550,0.241550,5365
2018-09-13,0.238150,0.241900,0.237350,0.238150,0.238150,2061
2018-09-14,0.240050,0.240100,0.236800,0.240050,0.240050,3475
2018-09-16,null,null,null,null,null,null
2018-09-17,0.241400,0.242550,0.237600,0.241400,0.241400,2570
